Student ID,AssignmentOneAverage,AssignmentOneAttempt,AssignmentTwoAverage,AssignmentTwoAttempt,AssignmentThreeAverage,AssignmentThreeAttempt,Gender,Course,Rating
15305,40,8,70,4,70,7,0,Cybersecurity Roles and Operating System Security(EDX),8
3604,60,3,80,1,50,3,1,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),8
9650,60,3,0,0,70,9,1,Cybersecurity Roles and Operating System Security(EDX),8
13535,0,0,50,7,70,8,0,Linux Operating System Fundamentals(Udemy),7
5301,0,0,60,7,70,8,0,Understanding Computer Systems(FutureLearn),7
983,70,5,0,0,50,4,0,Operating Azure Stack Hub(PLuralSight),6
8368,70,5,70,8,50,3,1,Real Time Operating System(SWAYAM),7
15554,70,3,70,3,70,3,1,Operating Systems from scratch - Part 2(Udemy),7
10023,70,3,0,0,0,0,0,Using Python to Interact with the Operating System(Coursera),4
12155,80,3,90,2,40,3,0,Advanced Operating Systems(Udacity),6
10300,80,8,0,0,60,9,1,Computer Hardware and Operating Systems(EDX),6
9702,0,0,70,8,60,8,1,Real Time Operating System(SWAYAM),3
8892,0,0,60,5,80,5,1,Using Python to Interact with the Operating System(Coursera),7
10922,70,5,70,2,60,2,1,Using Python to Interact with the Operating System(Coursera),7
9319,70,5,0,0,40,7,0,Operating Systems from scratch - Part 2(Udemy),7
12239,60,3,0,0,50,1,0,Introduction to Operating Systems(Udacity),6
6833,80,8,60,9,70,8,0,Using Python to Interact with the Operating System(Coursera),5
2293,0,0,70,6,50,8,0,Introduction to Operating Systems(Swayam),7
11662,0,0,80,8,60,8,1,Advanced Operating Systems(Udacity),7
20225,0,0,70,4,70,6,0,Become a Master of Operating Systems at comfort of your Home (Udemy),6
17347,0,5,80,4,60,6,0,Computer Hardware and Operating Systems(EDX),5
17277,60,5,60,6,60,8,0,Cybersecurity Roles and Operating System Security(EDX),7
13973,60,8,70,6,50,1,0,Getting Started with Junos Operating System(Coursera),7
19937,80,5,0,0,40,4,0,Other Operating Systems & Technologies for CompTIA A+ (220-902)(Pluralsight),7
274,0,0,60,9,70,3,1,Windows Operating Systems for CompTIA A+ (220-902)(Pluralsight),5
16001,0,0,60,8,70,7,0,Cybersecurity Roles and Operating System Security(EDX),6
12852,70,8,0,0,60,7,1,Computer Hardware and Operating Systems(EDX),6
18378,80,3,70,6,60,9,1,Linux Operating System Fundamentals(Udemy),7
4363,70,8,60,3,60,2,0,Windows Operating Systems for CompTIA A+ (220-902)(Pluralsight),7
5780,70,3,90,2,50,9,1,Configuration Manager: Maintain Inventory and Operating Systems(Linkedln Learning),7
9332,0,0,70,9,70,6,1,Understanding Computer Systems(FutureLearn),7
2473,80,3,30,4,50,9,0,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),6
8280,70,3,80,3,60,9,1,SCCM Current Branch: Deploy and Maintain Operating Systems(Pluralsight),6
857,40,5,70,6,0,3,0,Real Time Operating System(SWAYAM),3
9833,90,5,0,0,50,8,0,Introduction to Operating Systems(Swayam),6
240,60,5,80,1,40,9,1,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),7
19507,60,5,70,6,70,6,0,Operating System(Youtube -GateSmasher),7
13042,60,5,0,0,80,3,1,Linux Operating System Fundamentals(Udemy),6
14918,60,3,0,0,60,1,1,Become a Master of Operating Systems at comfort of your Home (Udemy),6
7297,90,3,60,8,70,4,0,Using Python to Interact with the Operating System(Coursera),6
3605,0,0,0,0,60,3,0,Configuration Manager: Maintain Inventory and Operating Systems(Linkedln Learning),7
16108,70,8,0,0,40,6,1,Windows Operating Systems for CompTIA A+ (220-902)(Pluralsight),8
18231,90,8,80,3,30,7,0,Operating System(Youtube -GateSmasher),8
14646,70,3,70,2,40,1,1,Introduction to Operating Systems(Udacity),5
15323,70,5,70,3,60,1,0,Operating Systems Concept and Design Principles for Beginner(Udemy),7
550,70,8,70,6,50,4,1,Operating Running Systems(PluraSight),5
6164,60,3,80,2,40,5,1,Real Time Operating System(SWAYAM),7
9954,60,5,70,8,60,6,1,Operating Systems from scratch - Part 1(Udemy),7
9160,0,0,70,1,60,7,1,Operating System(Udemy),5
7951,60,5,70,1,0,3,0,Computer Hardware and Operating Systems(EDX),8
1172,80,8,50,1,50,4,1,Become a Master of Operating Systems at comfort of your Home (Udemy),7
4234,50,8,0,0,70,6,1,Operating Systems and You: Becoming a Power User(Coursera),7
863,80,8,70,6,40,9,0,Cybersecurity Roles and Operating System Security(EDX),8
5153,80,8,80,6,50,7,0,Hello (Real) World with ROS – Robot Operating System(EDX),6
16577,70,8,70,7,60,5,0,Using Python to Interact with the Operating System(Coursera),6
14661,80,3,0,0,40,5,0,Real Time Operating System(SWAYAM),7
3322,70,5,0,0,40,3,1,Real Time Operating System(SWAYAM),7
6149,0,0,60,4,30,1,0,Introduction to Operating Systems(Udacity),6
6656,70,3,0,0,50,1,1,SCCM Current Branch: Deploy and Maintain Operating Systems(Pluralsight),5
18065,60,5,70,4,70,6,0,Juniper Networks JNCIA-Junos: Junos Operating System Fundamentals(PluralaSight),6
4024,0,0,60,7,40,1,1,Cybersecurity Roles and Operating System Security(EDX),8
390,0,8,70,3,70,9,1,Windows Operating Systems for CompTIA A+ (220-902)(Pluralsight),5
1680,70,8,0,0,30,1,1,Juniper Networks JNCIA-Junos: Junos Operating System Fundamentals(PluralaSight),6
987,0,0,60,2,60,9,0,Introduction to Operating Systems(Udacity),7
19323,60,3,30,3,60,3,0,Configuration Manager: Maintain Inventory and Operating Systems(Linkedln Learning),7
15237,50,8,80,2,60,3,0,Become a Master of Operating Systems at comfort of your Home (Udemy),6
1161,0,0,0,0,60,8,0,Introduction to Operating Systems(Udacity),5
